Unnamed: 0,BREED,GENDER_01,AGEATSURGERYmo,BODYWEIGHTKG,Taglia,BCS,YEAR,GENERATION,STEMSIZE,CUPSIZE,NECKSIZE,HEADSIZE,ALO,CUPRETROVERSION,STEMANTEVERSIONREAL,RECTUSFEMORISM.RELEASE,LUX_01,LUX_CR,mse
3773,8.08597113876471,0.3046762870784297,12.602722179229378,29.00255343163337,0.6953237129215704,5.0,2012.867265990451,4.390647425843141,1.6093525741568593,5.085971138764711,3.6953237129215695,0.6953237129215704,41.828057722470575,21.9532371292157,31.3,-5.551115123125783e-17,1,1.0,1.998849722898007
3774,2.858703038294274,1.0,7.086447190265162,25.75273031701498,1.0,5.0,2009.2825939234117,4.0,1.1412969617057256,2.9293515191471373,4.0,0.0,42.07064848085286,18.29351519147137,19.80051208724933,0.0,1,0.0,1.998849722898007
3775,8.857142915951963,0.976190485991994,9.274602691061638,32.80952388793595,1.0,5.0,2020.738095345912,5.952380971983987,0.0714285420240188,3.928571457975981,3.9761904859919937,0.9761904859919938,40.071428542024016,30.04761902801601,17.938095140080062,0.0,1,1.0,1.998849722898007
3776,6.999960618649028,1.0,6.833334908587371,29.999933051703348,1.0,5.999992123729806,2007.0000472576207,3.0000078762701943,0.9999921237298056,3.0,4.000007876270194,-5.551115123125783e-17,41.0000078762702,9.000086638972139,24.20008742659916,0.0,1,0.0,1.998849722898007
3777,10.0,1.0,9.54085072086606,34.66661315397237,1.0,6.973113964030031,2020.7580256762703,5.946227928060059,0.08065810790991,3.94622792806006,4.0,0.97311396403003,46.81179774821021,18.13443017984985,20.985513648192796,0.0,1,0.97311396403003,1.998849722898007
3778,10.995839198909568,0.0,13.997295479291218,24.807177381881,1.0,4.000520100136304,2021.0,6.0,2.998439699591088,2.0010402002726084,4.0,0.0005201001363042,38.004680901226735,20.0,22.502704520708782,0.0,1,0.0005201001363041,1.998849722898007
3779,5.000008578481806,0.0,12.229991214204883,33.00000986525408,1.0,5.0,2008.0000257354452,3.000006433861355,2.144620451671741e-06,3.0000085784818062,5.0,4.28924090317695e-06,41.00001286772271,14.000002144620453,19.200003431392723,0.0,1,2.1446204515607192e-06,1.998849722898007
3780,11.06341945954306,0.4682902702284698,34.81198749753256,27.030745459697723,1.0,6.4682902702284695,2014.6585486488575,4.5317097297715305,3.0,3.06341945954306,3.53170972977153,0.5317097297715302,44.3170972977153,26.40487081068541,23.225825188695943,0.4682902702284698,1,0.4682902702284698,1.998849722898007
3781,10.07340329583105,0.0,81.129241607283,40.3847049821308,1.0,5.0,2009.2109945069485,3.6421989013896496,0.2140663004632166,3.8562652018528665,4.785933699536783,0.4281326009264332,49.64527069490462,16.92659670416895,29.052303845136223,0.0,1,0.0,1.998849722898007
3782,7.011070525357658,0.4986161843302927,8.207288095860445,22.06010185438886,0.5013838156697072,5.0,2015.4986161843303,5.0,1.4958485529908785,2.5013838156697075,4.0,0.0,42.50691907834854,13.997232368660583,25.10719584148248,0.0,1,0.5013838156697072,1.998849722898007
3783,7.084783960209108,0.0282613200697025,16.06410812351148,53.71998756607621,1.0,6.943477359860595,2012.1130452802788,4.028261320069703,1.056522640139405,7.830432079581786,4.971738679930297,0.9717386799302976,42.91521603979089,19.028261320069703,29.350215003630577,0.0565226401394049,1,0.0,1.998849722898007
3784,2.881186684492106,1.0,5.958948630035234,18.643567296791183,0.0594066577539472,5.0,2015.8217800267385,4.940593342246053,3.0,2.0,4.0,0.0,40.17821997326184,14.643560053476316,22.808914620320525,0.0,1,-5.551115123125783e-17,1.998849722898007
3785,9.487019700515,0.0,16.250924129153596,30.487019700515,1.0,5.0,2008.307788179691,3.1025960598970004,2.220446049250313e-16,3.0,4.0,5.551115123125783e-17,51.897403940103,26.0,30.3002492671966,0.1025960598970001,1,0.1025960598970001,1.998849722898007
3786,2.031542417492819,0.0063084834985638,37.36732556766,34.59778149422774,1.0,5.0,2016.899064264023,4.981074549504308,0.0063084834985638,4.025233933994255,4.012616966997127,1.0,38.07570180198277,19.96845758250718,20.86623907673492,0.0,1,0.0,1.998849722898007
3787,9.99996055126654,0.0,20.36660174062621,28.000023669240075,1.0,5.0000049310916825,2010.99997041345,3.9999950689083175,0.0,2.0000049310916825,4.0,0.0,44.00000493109168,24.99992603362476,27.70001775193005,2.775557561562892e-17,1,5.551115123125783e-17,1.998849722898007
3788,11.075223734986876,0.481194066253281,8.858626945757216,40.5706865271214,1.0,5.481194066253281,2012.631641536227,4.518805933746719,1.0,6.0,4.518805933746719,1.0,43.48119406625328,22.112835602480317,34.18716439751969,1.037611867493438,1,0.518805933746719,1.998849722898007
3789,11.963258501472884,0.0,15.003478081248383,37.95958435162017,1.0,4.9959176112747645,2006.0367414985271,3.008164777450471,0.9959176112747646,3.0,4.0,0.0,50.96325850147288,13.983670445099058,17.740823887252354,0.0081647774504707,1,0.0040823887252353,1.998849722898007
3790,9.5902636737694,1.0,12.159567372519604,27.62373240558316,1.0,5.4097363262306,2018.1805273475388,5.5902636737694,1.7707910213082003,2.8194726524612,4.0,0.4097363262305998,42.8681542836142,19.6876269360754,21.206491178543256,0.4097363262305997,1,0.5902636737694001,1.998849722898007
3791,11.99923584062941,0.9996179203147058,18.99605311685091,31.99954150437765,1.0,5.0,2009.0030566374824,4.000382079685294,0.9996179203147056,3.0,4.0,0.0,48.99847168125882,34.99694336251764,25.896866946580584,0.0,1,5.551115123125783e-17,1.998849722898007
3792,8.999487643590857,-5.551115123125783e-17,9.166009142608267,35.0,1.0,4.000256178204571,2017.996413505136,5.999231465386287,1.0,6.0,5.0,1.0,45.000512356409146,14.996157326931431,17.703022902813938,-5.551115123125783e-17,1,0.9997438217954288,1.998849722898007
3793,8.045750918448544,0.0,9.639998905226271,41.93137362232719,1.0,5.954249081551456,2011.1830036737945,4.045750918448544,1.0,3.1372527553456324,4.045750918448544,0.0457509184485441,41.95424908155145,16.411758266036898,28.34051285827962,0.0915018368970884,1,0.0457509184485441,1.998849722898007
3794,8.986254761535973,1.0,17.477709804957506,29.98969107115198,1.0,4.997709126922662,1998.045817461547,1.011454365386689,0.0,5.993127380767986,4.0,1.0,45.0,3.0114543653866903,31.275945832687952,0.0,1,0.0,1.998849722898007
3795,8.149532159478321,1.0,7.382554253972977,30.99626120488121,1.0,6.0,2012.3644834108989,4.149532159478321,1.7663547729855475,3.3831773864927737,4.0,0.3831773864927738,40.616822613507225,11.682241705449416,16.000003929054643,0.0,1,0.3831773864927737,1.998849722898007
3796,4.520684512656228,0.2172406446651753,10.69597860322548,34.894498333098284,0.7827593553348247,4.0,2017.2172406446653,5.217240644665175,0.651721933995526,3.5655187106696493,3.7827593553348247,0.7827593553348247,41.086203223325874,23.21724064466517,21.82861180044862,1.565518710669649,1,1.0,1.998849722898007
3797,1.001416731195934,0.9998712062549152,12.177336091720036,22.50148112806848,1.0,5.0,2012.99948482502,4.0,2.9996136187647453,2.000128793745085,4.0,0.0,43.00064396872543,9.000128793745086,27.7031812055036,-5.551115123125783e-17,1,-5.551115123125783e-17,1.998849722898007
3798,11.18202696400316,0.6059910119989467,23.972321884917765,33.24354470681696,1.0,5.0,2012.847928095992,4.211982023997893,2.2119820239978933,2.3940089880010538,4.0,0.0,43.15207190400843,13.695856191983143,19.19608585238662,1.2119820239978931,1,0.3940089880010534,1.998849722898007
3799,5.0,1.0,108.89502120517518,31.5681339079867,0.9667795313835922,4.966779531383592,2014.833897656918,4.966779531383592,1.0664409372328156,2.966779531383592,4.933559062767184,0.0,43.0,24.83389765691796,31.64549287361064,1.9667795313835923,1,0.0,1.998849722898007
3800,6.999513177063177,5.551115123125783e-17,20.00898188318439,51.99707906237906,1.0,6.0,2008.0009736458735,3.000243411468412,0.9997565885315884,5.999269765594764,4.0,0.9997565885315884,42.99926976559477,0.0036511720261778,24.20085194013944,0.0004868229368233,1,0.0,1.998849722898007
3801,6.10472629554989,0.7761815738874724,6.882831512497944,33.47720161234268,1.0,5.0,2007.804913243913,3.671455278337583,0.0,3.223818426112528,4.776181573887472,0.2238184261125276,49.32854472166242,12.238184261125276,33.598979961544785,2.775557561562892e-17,1,0.2238184261125276,1.998849722898007
3802,8.62389230802787,1.0,24.298538325896228,29.954959076178127,1.0,5.275221538394426,2014.073449231239,4.724778461605574,2.1743353848167217,2.275221538394426,4.0,0.0,42.20177230715541,21.65132923036656,24.66787661527052,1.4495569232111478,1,0.2752215383944261,1.998849722898007
3803,11.999997559855682,0.0,93.62996579731048,39.39999182551654,0.9999995933092806,5.000000406690719,2006.0000040669072,3.000000813381438,8.133814388688876e-07,2.9999995933092807,4.999999593309281,0.0,51.999995933092805,15.000001626762876,31.3,0.0,1,0.0,1.998849722898007
3804,3.233023692090036,0.0582559230225089,10.291368906772348,41.69907107627011,1.0,5.0,2008.4174407697749,3.883488153954982,0.9417440769774912,6.0,4.116511846045018,1.0,36.69907107627011,27.893137462572334,35.41651184604501,0.0,1,0.0,1.998849722898007
3805,9.02944028395707,1.0,11.0124949857512,36.158783602460105,1.0,5.99018657201431,2014.9411194320855,4.99018657201431,0.00981342798569,3.0,4.0,0.0,49.99018657201431,18.16682827575673,27.68233582962576,-5.551115123125783e-17,1,0.0,1.998849722898007
3806,8.957158751903528,0.0,17.29873379032545,47.914317503807055,1.0,5.010710312024118,2004.085682496193,3.010710312024118,0.989289687975882,7.9464484398794095,4.989289687975882,0.0,47.914317503807055,24.89289687975882,31.261442876713176,0.0214206240482361,1,0.0,1.998849722898007
3807,9.85441858432358,0.0,8.48567842754992,24.31993022137797,0.9818023230404472,5.0,2012.9454069691212,4.0,0.0545930308786584,2.981802323040448,3.9818023230404473,0.0,44.83622090736402,16.0,28.045755862231506,0.0,1,1.0,1.998849722898007
3808,2.0,1.0,7.538917320319257,21.94411578742239,1.0,5.0,2013.1930938206183,4.096546910309216,0.0,3.0,4.903453089690784,0.0,41.613812358763134,19.51726544845392,34.56624348164996,0.0,1,0.0,1.998849722898007
3809,3.0,0.0,10.579949383253425,34.21954444928095,1.0,4.0,2014.1837570396165,4.295939259904127,0.704060740095873,5.408121480191746,4.0,1.0,41.40812148019175,20.887817779712385,30.535377915543556,0.591878519808254,1,1.0,1.998849722898007
3810,5.000099892541823,0.9999500537290884,11.53375621176035,28.00119871050188,1.0,5.000049946270912,2001.0003496238965,2.000049946270912,4.994627091159387e-05,2.0001997850836464,4.0,4.994627091159387e-05,51.99955048356179,9.999500537290883,31.299645381476527,0.0,1,0.9999500537290884,1.998849722898007
3811,9.416199884007089,0.916599983429584,13.076564986530965,25.93472034466465,1.0,5.0,2009.999199801155,3.833199966859168,2.8331999668591683,2.333600066281664,3.250200049711248,0.083400016570416,45.58380011599292,26.999199801155008,34.966399933718336,0.0,1,0.916599983429584,1.998849722898007
3812,2.989622507826724,0.0,8.783396012522758,38.539810545395,1.0,5.010377492173276,2020.833960125228,5.968867523480171,0.0,3.989622507826724,4.0,0.989622507826724,46.97924501565345,19.89622507826724,27.737358971823795,0.0,1,0.9896225078267236,1.998849722898007
3813,8.000000043030436,4.303043588116395e-08,9.570000249433097,41.99999959981695,1.0,6.0,2011.0000002581824,4.000000043030436,0.999999956969564,3.000000043030436,4.0,4.30304358256528e-08,42.00000021515218,16.00000038727392,27.700000154909567,4.3030435853408384e-08,1,0.0,1.998849722898007
3814,12.0,0.0,18.030380188704616,30.61030714352933,1.0,5.8474232141176685,2017.4742321411768,5.694846428235336,2.5422696423530047,3.0,4.0,0.0,43.76288392941166,15.08453928470601,25.621426433881688,2.775557561562892e-17,1,0.0,1.998849722898007
3815,6.539816655738354,0.4943119063230923,9.275046020297328,24.265981886652128,0.5056880936769077,5.505688093676907,2013.9772476252924,4.494311906323092,3.0,2.0,4.0,0.0,42.52844046838454,15.0,26.950055224356788,0.0,1,5.551115123125783e-17,1.998849722898007
3816,9.998581980021097,0.0,10.84381309017227,30.698944362904594,1.0,5.0,2013.9992122111228,4.0,0.0004726733263011,2.9998424422245664,4.0,0.0,38.00063023110174,10.002836039957806,25.89973215178176,0.0,1,0.0,1.998849722898007
3817,9.981564061040554,0.9815640610405536,8.516592345063504,30.11061563375668,1.0,5.981564061040554,2012.0553078168784,4.018435938959446,0.0184359389594466,3.05530781687834,4.018435938959446,0.0184359389594465,45.88938436624332,15.0,35.22625624416221,0.0,1,1.0,1.998849722898007
3818,2.991960955702456,0.0040195221487725,12.797467701046273,60.646052301702014,1.0,4.004019522148773,2020.9678438228095,5.991960955702455,3.9959804778512273,8.971863344958592,5.991960955702455,1.991960955702455,44.99196095570245,14.975882867107366,25.90723513986779,0.0,1,0.9959804778512272,1.998849722898007
3819,3.2499236426392164,0.035703377519888,8.546424571757292,27.95361615216846,1.0,4.107110132559664,2014.8928898674403,4.964296622480112,0.1071101325596642,2.964296622480112,3.964296622480112,0.0,41.89288986744034,10.642660795357989,27.7642660795358,1.964296622480112,1,1.0,1.998849722898007
3820,2.9999016584896525,0.0,7.038589687061453,31.99945912169309,1.0,4.999950829244826,2018.9999508292449,6.0,9.834151034837646e-05,3.999852487734477,4.999950829244826,0.999950829244826,40.00024585377587,13.999803316979303,31.299405033862392,0.0,1,0.9999508292448258,1.998849722898007
3821,1.1109431251914923,0.0,12.04155874808809,19.58245140725534,0.0277357812978733,5.027735781297873,2005.1109431251916,3.0277357812978734,1.9445284374042535,1.0554715625957465,4.0,0.0,49.75037796831914,12.221886250382989,24.75748920408725,0.0,1,0.0,1.998849722898007
3822,10.0,0.0,13.169377479199854,30.80682088946118,1.0,5.0,2011.8635822107765,3.643930368462732,0.0,3.0,4.0,0.0,42.98497484152176,15.6971141045963,27.181850673534168,-5.551115123125783e-17,1,0.0,1.998849722898007
3823,3.0111985518070323,0.0,30.709975762314308,45.00839891385528,1.0,5.0,1999.0139981897587,2.002799637951758,1.0,6.0,5.9972003620482415,1.0,51.988801448192966,16.01119855180703,31.28012257054252,2.775557561562892e-17,1,5.551115123125783e-17,1.998849722898007
3824,11.99999948604832,1.0279033585414157e-07,57.633328303459535,29.70000075036945,1.0,5.999999897209664,2016.999999074887,4.999999794419328,2.9999997944193284,3.999999897209664,4.000000102790336,0.9999998972096642,48.99999979441933,24.99999897209664,17.700000842880755,0.0,1,0.0,1.998849722898007
3825,6.638594130343846,0.0,154.6662580102596,42.00613385844558,1.0,5.0,2010.8131632067264,4.180702934828077,0.9096485325859616,5.819297065171924,5.0,1.0,40.0,10.361405869656153,36.75789119551577,0.0,1,0.0903514674140384,1.998849722898007
3826,9.999800692192174,1.0,8.900219238588608,24.003188924925205,1.0,6.999800692192174,2011.9994020765764,4.0,2.99960138438435,2.0007972312313003,3.000199307807825,0.0001993078078251,39.00099653903913,27.998206229729576,29.501554600901034,0.9998006921921748,1,0.9998006921921748,1.998849722898007
3827,9.948882902886853,1.0,7.73500867520529,22.583386943438228,0.9936103628608566,5.993610362860856,2011.9872207257215,4.0,3.0,1.9936103628608568,3.993610362860856,0.0,40.03194818569572,22.96805181430428,27.74856124225749,0.0,1,0.0,1.998849722898007
3828,6.201295751661251,0.0,56.95517942644614,47.80842238579813,1.0,5.399352124169375,2006.7954648691857,3.3993521241693747,1.0,4.801943627491875,5.600647875830625,0.6006478758306252,47.00647875830625,20.383155228403744,33.29092973837125,0.0,1,0.0,1.998849722898007
3829,3.019433566510231,0.0097167832551152,11.170229487193575,39.38825699256618,1.0,4.009716783255115,2016.8445314679184,4.970849650234654,0.0,3.9805664334897695,4.0,0.9902832167448848,40.11660139906138,22.8736818176835,19.317573077386896,1.9805664334897692,1,1.0,1.998849722898007
3830,2.9944144871939637,0.0055855128060368,10.1127035286773,40.89108250028228,1.0,5.0,2009.022342051224,4.0,0.9944144871939632,5.983243461581889,4.005585512806037,0.9944144871939632,36.03351307683622,28.94973038474567,35.3,0.0,1,0.0,1.998849722898007
3831,11.678711654416292,0.1606441727918539,13.939469626666114,35.0,1.0,5.321288345583708,2005.0522392830453,3.481932518375562,0.0,3.160644172791854,4.839355827208146,0.1606441727918539,44.481932518375565,28.072269926497757,29.613236185685533,0.0,1,0.1606441727918539,1.998849722898007
3832,6.5403801098156125,0.2298099450921939,57.53935261315964,58.80760219631223,1.0,6.540380109815612,2005.621140329447,2.7701900549078062,0.7701900549078061,2.770190054907806,4.770190054907806,0.0,48.14904972546097,17.70190054907806,23.213004423468035,2.775557561562892e-17,1,0.2298099450921939,1.998849722898007
