CASE_ID;BREED;GENDER_01;AGEATSURGERYmo;BODYWEIGHTKG;Taglia;BCS;INDICATIONFORTHR;HIPRL;YEAR;n_luxation;GENERATION;STEMSIZE;CUPSIZE;NECKSIZE;HEADSIZE;ALO;CUPRETROVERSION;STEMANTEVERSIONREAL;RECTUSFEMORISM.RELEASE;first_lux_days_after_thr;DIRECTION;LUX_01;LUX_CR
2711;11;0;12,0666666666667;23;1;5;2;R;2017;;5;SMALL;2;4;0;40;15;22,5;NO;;;0;1
2712;9;0;7,46666666666667;32,7;1;4;2;R;2017;;5;LARGE;6;5;1;45;16;25,9;NO;;;0;1
2713;1;0;8,13333333333333;15,4;0;4;2;R;2017;;5;X-SMALL;1;4;0;40;25;35,3;PARTIAL;;;0;1
2714;11;0;13,6;25,2;1;5;2;L;2017;;5;SMALL;2;4;0;40;18;22,5;NO;;;0;1
2715;8;0;10,7;55;1;7;2;R;2017;;5;X-LARGE;6;5;1;46;30;16,1;PARTIAL;;;0;1
2716;10;1;8,96666666666667;22,1;1;5;2;R;2017;;5;SMALL;2;4;0;40;17;24,2;NO;;;0;1
2717;10;1;16,2;23,7;1;5;2;R;2016;;5;MEDIUM;4;4;1;49;20;35,3;NO;;;0;1
2718;11;1;9,66666666666667;19,2;0;5;2;L;2016;;5;SMALL;2;3;0;45;15;35,3;PARTIAL;;;0;1
2719;10;1;9,63333333333333;27,5;1;6;2;L;2016;;5;MEDIUM;4;4;1;50;22;41,7;PARTIAL;;;0;1
2720;6;0;66,3;26,6;1;7;2;L;2016;;5;SMALL;2;4;0;40;20;31,3;YES;;;0;1
2721;2;1;15,0666666666667;21;1;6;2;L;2016;;5;SMALL;2;4;0;43;18;31,3;YES;;;0;1
2722;11;0;7,03333333333333;21,5;1;5;2;L;2016;;5;SMALL;2;4;0;48;14;31,3;PARTIAL;;;0;1
2723;10;1;9,6;27,2;1;6;2;R;2016;;5;SMALL;2;4;0;38;16;19,2;PARTIAL;;;0;1
2724;11;1;44;25,7;1;5;2;L;2016;;5;X-SMALL;1;3;0;40;18;24,2;YES;;;0;1
2725;11;0;9,03333333333333;22,6;1;5;2;R;2016;;5;SMALL;2;4;0;44;14;22,5;PARTIAL;;;0;1
2726;10;1;11,2;27,8;1;6;2;L;2016;;5;SMALL;2;4;0;40;16;24,2;PARTIAL;;;0;1
2727;6;1;9,23333333333333;20,5;1;6,5;2;R;2016;;5;X-SMALL;1;3;0;44;20;14,6;PARTIAL;;;0;1
2728;2;1;17,3333333333333;21;1;5;2;R;2016;;5;X-SMALL;1;3;0;45;8;27,7;YES;;;0;1
2729;11;1;7,1;18,5;0;5;2;L;2016;;5;SMALL;2;4;0;50;20;31,3;YES;;;0;1
2730;3;0;20,5;70;1;5;2;L;2016;;5;TIGER;10;6;4;46;30;27,7;PARTIAL;;;0;1
2731;10;0;6,9;26;1;6;2;L;2016;;5;MEDIUM;4;4;1;40;12;24,2;NO;;;0;1
2732;5;0;8,53333333333333;31,8;1;5;2;R;2016;;5;SMALL;4;4;1;40;22;31,3;YES;;;0;1
2733;11;1;8,63333333333333;18,5;0;5;2;R;2016;;5;SMALL;2;4;0;45;20;25,9;NO;;;0;1
2734;10;1;10,1;26;1;7;2;L;2016;;5;X-SMALL;2;4;0;38;10;31,3;NO;;;0;1
2735;5;1;5,63333333333333;22,1;1;4;2;R;2015;;5;MEDIUM;3;4;0;48;13;27,7;YES;;;0;1
2736;9;0;7,76666666666667;32,1;1;5;2;R;2015;;5;LARGE;6;5;1;40;15;31,3;PARTIAL;;;0;1
2737;10;0;7,7;18,1;0;5;2;R;2014;;4;X-SMALL;2;4;0;42;15;31,3;PARTIAL;;;0;1
2738;5;0;5,46666666666667;24,3;1;5;2;L;2011;;4;SMALL;3;3;0;40;25;33,3;YES;;;0;1
2739;1;0;87,9666666666667;15;0;5;2;L;2021;;6;LARGE MINI;1;0;0;44;18;24,6;NO;;;0;1
2740;11;1;9,2;16,7;0;4;2;L;2021;;6;X-LARGE MINI;1;0;0;40;16;22,5;YES;;;0;1
2741;1;0;13,0666666666667;15;0;5;2;R;2021;;6;X-LARGE MINI;1;1;0;45;15;20,8;NO;;;0;1
2742;1;0;12,3;15;0;5;2;L;2021;;6;X-LARGE MINI;1;4;0;45;18;31,3;NO;;;0;1
2743;11;0;9,46666666666667;15;0;4;2;R;2020;;6;X-LARGE MINI;1;5;0;40;15;20,8;NO;;;0;1
2744;12;0;8,93333333333333;32,1;1;5;2;L;2021;;6;LARGE;4;4;1;43;20;20,8;YES;;;0;1
2745;12;0;12,9333333333333;36;1;5;2;L;2021;;6;LARGE;6;4;1;44;15;29,5;YES;;;0;1
